"site","date","intern_data","start_time","end_time","PG_count","burrow_count","burrow_visit.x","qaqc","mult_count","burrow_name","Gunnel","Sculpin","Other","burrow_visit.y","qaqc_concern"
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","4",0,0,0,1,""
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","25",0,2,0,0,""
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","6B",0,0,0,3,""
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","3",0,0,0,3,""
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","25",0,0,0,3,""
"Harrington South",2010-08-12,"Y","10:50","1",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","8:30","18",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","6:30","14",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","8:00","17",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","6:00","10",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","10:30","2",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","10:00","13",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","9:00","24",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","9:30","12",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2010-08-12,"Y","7:00","17",0,0,0,"","Y","25",3,0,0,0,"some unexplained entries not assigned to a burrow"
"Harrington South",2011-06-29,"","8:05","9:05",14,1,0,"","","6B",1,0,0,0,""
"Harrington South",2011-07-06,"","8:35","9:35",18,6,8,"","","6B",0,0,0,1,""
"Harrington South",2011-07-06,"","8:35","9:35",18,6,8,"","","28",0,0,0,2,""
"Harrington South",2011-07-06,"","8:35","9:35",18,6,8,"","","26",0,0,0,1,""
"Harrington South",2011-07-06,"","8:35","9:35",18,6,8,"","","25",0,0,0,1,""
"Harrington South",2011-07-06,"","8:35","9:35",18,6,8,"","","6A",1,0,0,0,""
"Harrington South",2011-07-06,"","8:35","9:35",18,6,8,"","","27",0,0,0,3,""
"Harrington South",2011-07-14,"","8:20","9:30",12,7,0,"","","29",1,0,0,0,""
