"year","site","week","PG_count"
2011,"Hastie Lake",30,20
2011,"Hastie Lake",32,30
2011,"Keystone",25,25
2011,"Keystone",27,25
2011,"Keystone",28,32
2011,"Keystone",29,27
2011,"Keystone",30,32
2011,"Keystone",31,32
2011,"Keystone",32,31
2011,"Keystone",33,45
2011,"Keystone",34,27
2011,"Lagoon North #1",26,53
2011,"Lagoon North #1",28,54
2011,"Lagoon North #1",30,49
2011,"Lagoon North #1",31,49
2011,"Lagoon North #1",31,52
2011,"Lagoon North #1",32,53
2011,"Lagoon North #1",35,47
2011,"Lagoon North #2",26,10
2011,"Lagoon North #2",28,15
2011,"Lagoon North #2",29,11
2011,"Lagoon North #2",30,11
2011,"Lagoon North #2",31,11
2011,"Lagoon North #2",32,16
2011,"Lagoon North #2",33,11
2011,"Lagoon North #3",28,20
2011,"Lagoon North #3",29,24
2011,"Lagoon North #3",30,29
2011,"Lagoon North #3",31,28
2011,"Lagoon North #3",33,18
2011,"Lagoon South",27,33
2011,"Lagoon South",29,35
2011,"Lagoon South",30,37
2011,"Lagoon South",31,33
2011,"Lagoon South",32,25
2011,"Lagoon South",33,50
2011,"Ledgewood",25,38
2011,"Ledgewood",26,40
2011,"Ledgewood",28,30
2011,"Ledgewood",29,38
2011,"Ledgewood",31,33
2011,"Ledgewood",32,46
2011,"Limpet Lane",26,19
2011,"Limpet Lane",27,25
2011,"Limpet Lane",29,23
2011,"Limpet Lane",31,21
2011,"Limpet Lane",32,31
2011,"Limpet Lane",33,32
2011,"Malmo Bluff",26,25
2011,"Malmo Bluff",27,38
2011,"Malmo Bluff",28,28
2011,"Malmo Bluff",29,45
2011,"Malmo Bluff",31,43
2011,"Malmo Bluff",32,37
2011,"Malmo Bluff",33,35
2011,"Maylor Point",27,19
2011,"Maylor Point",29,17
2011,"Maylor Point",30,19
2011,"Maylor Point",31,28
2011,"Maylor Point",32,29
2011,"Monroe Landing",27,9
2011,"Monroe Landing",28,9
2011,"Monroe Landing",29,11
2011,"Monroe Landing",32,13
2011,"Monroe Landing",33,7
2011,"Monroe Landing",34,12
2011,"Mutiny Sands",27,33
2011,"Mutiny Sands",29,40
2011,"Mutiny Sands",33,33
2011,"Possession Point",27,25
2011,"Possession Point",28,16
2011,"Possession Point",29,24
2011,"Possession Point",30,32
