region,site,date,intern_data,burrow_name,visit_type,visits
Whidbey,Rolling Hills #1 -- INTERN,8/15/17,on,b.6a,gunnels,1
Whidbey,Rolling Hills #1 -- INTERN,8/17/17,on,b.6a,gunnels,2
Whidbey,Mutiny Sands,8/24/17,,b.25,sculpin,1
Whidbey,Double Bluff South,8/17/17,,b.2,gunnels,1
Whidbey,Double Bluff North,8/18/17,,b.B4,sculpin,1
Whidbey,Double Bluff North,8/25/17,,b.B1,sculpin,2
Whidbey,Clinton Ferry Dock,8/19/17,,b.2,noprey,4
Whidbey,Clinton Ferry Dock,8/19/17,,b.6,noprey,10
Whidbey,Cliffside,8/16/17,,b.5,gunnels,4
Whidbey,Cliffside,8/16/17,,b.6,other,1
Whidbey,Cliffside,8/22/17,,b.6,sculpin,1
Whidbey,Cliffside,8/29/17,,b.5,gunnels,1
Whidbey,Cliffside -- INTERN,8/28/17,on,b.5,gunnels,5
Whidbey,Bush Point Dock,7/20/17,,b.2,noprey,4
Whidbey,Bush Point Dock,7/27/17,,b.2,noprey,3
Whidbey,Bush Point Dock,8/3/17,,b.2,noprey,2
Whidbey,Bush Point Dock,8/24/17,,b.2,noprey,2
Whidbey,Double Bluff South,8/24/17,,b.2,gunnels,1
Whidbey,Rolling Hills #3,8/12/17,,b.50,noprey,1
Whidbey,Rolling Hills #3,8/12/17,,b.51,noprey,1
Whidbey,Harrington North,7/5/17,,b.7,gunnels,1
Whidbey,Mutiny Sands,9/7/17,,b.25,sculpin,1
Whidbey,Cliffside,6/13/17,,b.11,noprey,1
Whidbey,Hastie Lake South,6/13/17,,b.4,noprey,1
Whidbey,Hastie Lake South,6/13/17,,b.7,noprey,2
Whidbey,Rolling Hills #1,6/13/17,,b.4,gunnels,2
Whidbey,Rolling Hills #1,6/13/17,,b.5,noprey,2
Whidbey,Rolling Hills #1,6/13/17,,b.19,gunnels,3
Whidbey,Rolling Hills #1,6/13/17,,b.33,noprey,1
Whidbey,Harrington South,6/13/17,,b.1,noprey,1
Whidbey,Harrington South,6/13/17,,b.2,noprey,2
Whidbey,Shore Meadows,6/14/17,,b.1,noprey,2
Whidbey,Forbes Point,6/14/17,,b.1,noprey,2
Whidbey,Mutiny Sands,6/15/17,,b.6,noprey,1
Whidbey,Mutiny Sands,6/15/17,,b.9,noprey,1
Whidbey,Mutiny Sands,6/15/17,,b.5,noprey,1
Whidbey,Mutiny Sands,6/15/17,,b.10B,noprey,2
Whidbey,Rolling Hills #1 -- INTERN,6/12/17,on,b.19,gunnels,2
Whidbey,Rolling Hills #1 -- INTERN,6/14/17,on,b.4,gunnels,3
Whidbey,Rolling Hills #1 -- INTERN,6/14/17,on,b.4,other,1
Whidbey,Rolling Hills #1 -- INTERN,6/14/17,on,b.19,gunnels,1
Whidbey,Rolling Hills #1 -- INTERN,6/14/17,on,b.19,other,1
Whidbey,Rolling Hills #1 -- INTERN,6/14/17,on,b.32,gunnels,1
Whidbey,Rolling Hills #1 -- INTERN,6/14/17,on,b.27a,gunnels,3
Whidbey,Limpet Lane,6/16/17,,b.1,noprey,1
Whidbey,Limpet Lane,6/16/17,,b.2,noprey,2
Whidbey,Limpet Lane,6/16/17,,b.5,noprey,1
Whidbey,Clinton Ferry Dock,6/17/17,,b.1,noprey,3
Whidbey,Clinton Ferry Dock,6/17/17,,b.2,noprey,2
Whidbey,Clinton Ferry Dock,6/17/17,,b.3,noprey,4
Whidbey,Clinton Ferry Dock,6/17/17,,b.4,noprey,1
Whidbey,Harrington South,6/19/17,,b.2,noprey,1
Whidbey,Harrington South,6/19/17,,b.3,noprey,1
Whidbey,Harrington South,6/19/17,,b.4,noprey,1
Whidbey,Fort Casey North,6/17/17,,b.1,noprey,1
Whidbey,Rolling Hills #1,6/20/17,,b.8,gunnels,1
Whidbey,Rolling Hills #1,6/20/17,,b.19,gunnels,1
Whidbey,Rolling Hills #1,6/20/17,,b.32,gunnels,1
Whidbey,Malmo Bluff,6/20/17,,b.1,noprey,1
Whidbey,Pratts Bluff,6/13/17,,b.16,noprey,2
Whidbey,Pratts Bluff,6/13/17,,b.14,noprey,1
Whidbey,Pratts Bluff,6/13/17,,b.12,noprey,1
Whidbey,Pratts Bluff,6/13/17,,b.18,noprey,1
Whidbey,Pratts Bluff,6/20/17,,b.12,noprey,1
Whidbey,Hancock Lake,6/22/17,,b.4,noprey,1
Whidbey,Hancock Lake,6/22/17,,b.11,noprey,1
Whidbey,Hancock Lake,6/22/17,,b.18,noprey,2
Whidbey,Hancock Lake,6/22/17,,b.S6,noprey,1
Whidbey,Rolling Hills #1 -- INTERN,6/16/17,on,b.18,gunnels,2
Whidbey,Rolling Hills #1 -- INTERN,6/16/17,on,b.27a,gunnels,2
Whidbey,Rolling Hills #1 -- INTERN,6/16/17,on,b.33,gunnels,1
