region,site,date,start_time,end_time,PG_count,burrow_count,burrow_visit,intern_data,qaqc,mult_count
Whidbey,Double Bluff North,7/3/08,8:00,9:30,25,10,,,,
Whidbey,Double Bluff North,7/10/08,8:15,10:30,101,19,,,,
Whidbey,Double Bluff North,7/18/08,8:30,12:45,67,21,,,,
Whidbey,Double Bluff North,7/24/08,8:15,10:25,95,24,,,,
Whidbey,Double Bluff North,7/30/08,8:00,9:55,84,25,,,,
Whidbey,Double Bluff North,8/7/08,7:55,9:30,93,25,,,,
Whidbey,Double Bluff North,8/15/08,7:55,9:50,24,27,,,,
Whidbey,Double Bluff North,6/24/15,,,40,7,11,,,
Whidbey,Double Bluff North,7/3/15,,,41,3,2,,,
Whidbey,Double Bluff North,7/10/15,,,52,0,0,,,
Whidbey,Double Bluff North,7/17/15,,,57,3,5,,,
Whidbey,Double Bluff North,7/24/15,,,51,7,15,,,
Whidbey,Double Bluff North,7/31/15,,,35,3,5,,,
Whidbey,Double Bluff North,8/7/15,,,43,0,0,,,
Whidbey,Double Bluff North,8/13/15,,,28,0,0,,,
Whidbey,Double Bluff North,8/21/15,,,10,0,0,,,
Whidbey,Double Bluff North,6/10/16,,,39,0,0,,,
Whidbey,Double Bluff North,6/17/16,,,9,0,0,,,
Whidbey,Double Bluff North,6/24/16,,,39,5,7,,,
Whidbey,Double Bluff North,7/1/16,,,38,4,4,,,
Whidbey,Double Bluff North,7/8/16,,,45,8,13,,,
Whidbey,Double Bluff North,7/15/16,,,45,0,0,,,
Whidbey,Double Bluff North,7/22/16,,,62,14,39,,,
Whidbey,Double Bluff North,7/29/16,,,45,3,3,,,
Whidbey,Double Bluff North,8/5/16,,,62,4,5,,,
Whidbey,Double Bluff North,8/12/16,,,21,0,0,,,
Whidbey,Double Bluff North,8/19/16,,,29,0,0,,,
Whidbey,Double Bluff North,6/16/17,,,66,13,23,,,
Whidbey,Double Bluff North,6/23/17,,,24,0,0,,,
Whidbey,Double Bluff North,6/30/17,,,38,7,11,,,
Whidbey,Double Bluff North,7/7/17,,,30,0,0,,,
Whidbey,Double Bluff North,7/14/17,,,63,5,11,,,
Whidbey,Double Bluff North,7/21/17,,,62,2,5,,,
Whidbey,Double Bluff North,7/28/17,,,74,14,28,,,
Whidbey,Double Bluff North,8/4/17,,,54,2,3,,,
Whidbey,Double Bluff North,8/11/17,,,61,2,3,,,
Whidbey,Double Bluff North,8/18/17,,,33,1,1,,,
Whidbey,Double Bluff North,8/25/17,,,26,1,2,,,
Whidbey,Double Bluff North,9/1/17,,,15,0,0,,,
Whidbey,Double Bluff North,9/8/17,,,0,0,0,,,
Whidbey,Double Bluff South,6/19/14,8:00,9:00,6,0,,,,
Whidbey,Double Bluff South,6/28/14,7:45,8:45,5,0,,,,
Whidbey,Double Bluff South,7/4/14,8:00,9:00,8,1,,,,
Whidbey,Double Bluff South,7/9/14,8:30,9:30,7,2,1,,,
Whidbey,Double Bluff South,7/16/14,7:45,9:05,13,2,,,,
Whidbey,Double Bluff South,7/23/14,8:15,9:30,16,3,,,,
Whidbey,Double Bluff South,7/30/14,7:45,9:15,13,3,1,,,
Whidbey,Double Bluff South,8/6/14,8:30,9:30,13,3,,,,
Whidbey,Double Bluff South,8/15/14,8:00,9:00,7,3,,,,
Whidbey,Double Bluff South,6/27/11,8:30,9:30,12,,,,,
Whidbey,Double Bluff South,7/4/11,8:15,9:15,17,2,,,,
Whidbey,Double Bluff South,7/12/11,8:25,9:25,15,2,,,,
Whidbey,Double Bluff South,7/19/11,7:45,8:45,18,2,,,,
Whidbey,Double Bluff South,7/25/11,7:45,8:45,10,2,,,,
Whidbey,Double Bluff South,8/2/11,8:10,9:10,13,2,2,,,
Whidbey,Double Bluff South,8/12/11,8:00,9:00,18,2,,,,
Whidbey,Double Bluff South,7/9/12,7:15,8:15,8,2,3,,,
Whidbey,Double Bluff South,7/16/12,8:00,9:00,6,2,,,,
Whidbey,Double Bluff South,7/24/12,6:55,7:55,13,2,,,,
Whidbey,Double Bluff South,8/3/12,8:15,9:15,3,2,,,,
Whidbey,Double Bluff South,6/27/13,9:00,10:00,9,2,3,,,
Whidbey,Double Bluff South,7/4/13,8:58,9:58,20,2,,,,
Whidbey,Double Bluff South,7/11/13,8:23,9:23,18,2,,,,
Whidbey,Double Bluff South,7/19/13,8:11,9:11,20,3,1,,,
Whidbey,Double Bluff South,7/24/13,8:19,9:19,8,3,4,,,
Whidbey,Double Bluff South,7/31/13,8:30,9:30,19,3,,,,
Whidbey,Double Bluff South,8/8/13,8:00,9:00,5,3,,,,
Whidbey,Double Bluff South,7/15/09,9:35,10:35,15,2,,,,
Whidbey,Double Bluff South,7/22/09,6:50,7:50,18,3,,,,
Whidbey,Double Bluff South,7/29/09,7:58,9:00,20,3,,,,
Whidbey,Double Bluff South,8/3/09,7:30,8:30,18,4,,,,
Whidbey,Double Bluff South,8/17/09,8:00,9:00,6,4,,,,
Whidbey,Double Bluff South,6/28/08,8:25,9:30,20,0,,,,
Whidbey,Double Bluff South,7/7/08,7:30,8:30,23,0,,,,
Whidbey,Double Bluff South,7/15/08,8:30,9:30,16,0,,,,
Whidbey,Double Bluff South,7/23/08,8:00,9:00,24,0,,,,
Whidbey,Double Bluff South,6/24/15,,,4,1,1,,,
Whidbey,Double Bluff South,7/1/15,,,3,0,0,,,
Whidbey,Double Bluff South,7/7/15,,,8,2,3,,,
Whidbey,Double Bluff South,7/15/15,,,11,2,4,,,
Whidbey,Double Bluff South,7/22/15,,,11,1,2,,,
Whidbey,Double Bluff South,7/30/15,,,14,0,0,,,
Whidbey,Double Bluff South,8/5/15,,,10,0,0,,,
Whidbey,Double Bluff South,8/11/15,,,8,0,0,,,
Whidbey,Double Bluff South,6/8/16,,,7,0,0,,,
Whidbey,Double Bluff South,6/15/16,,,4,0,0,,,
Whidbey,Double Bluff South,6/23/16,,,3,1,1,,,
Whidbey,Double Bluff South,6/29/16,,,5,0,0,,,
Whidbey,Double Bluff South,7/6/16,,,9,0,0,,,
Whidbey,Double Bluff South,7/13/16,,,9,0,0,,,
Whidbey,Double Bluff South,7/20/16,,,8,1,2,,,
Whidbey,Double Bluff South,8/3/16,,,9,1,3,,,
Whidbey,Double Bluff South,8/10/16,,,8,0,0,,,
Whidbey,Double Bluff South,8/16/16,,,2,0,0,,,
Whidbey,Double Bluff South,8/27/16,,,4,1,1,,,
Whidbey,Double Bluff South,6/15/17,,,4,0,0,,,
Whidbey,Double Bluff South,6/22/17,,,10,0,0,,,
Whidbey,Double Bluff South,6/29/17,,,6,0,0,,,
Whidbey,Double Bluff South,7/6/17,,,14,0,0,,,
Whidbey,Double Bluff South,7/12/17,,,10,0,0,,,
