Site,Date,Count,Count type,Comment,QAQC,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/21/2015,12,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/28/2015,7,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/28/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/28/2015,5,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/5/2015,11,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/5/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/5/2015,7,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/11/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/11/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/11/2015,4,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/25/2015,1,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/25/2015,1,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,8/25/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,9/3/2015,1,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,9/3/2015,1,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,9/3/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,6/8/2015,30,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,6/8/2015,28,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,6/8/2015,30,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,6/29/2015,0,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,6/29/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,6/29/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,7/6/2015,10,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,7/6/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SW,7/6/2015,10,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/10/2015,30,Start,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/10/2015,24,Middle,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/10/2015,20,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/18/2015,22,Start,,Y,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/18/2015,19,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/18/2015,x,End,,Y,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/24/2015,32,Start,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/24/2015,27,Middle,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,6/24/2015,30,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/2/2015,11,Start,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/2/2015,11,Middle,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/2/2015,12,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/9/2015,17,Start,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/9/2015,18,Middle,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/9/2015,17,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/16/2015,21,Start,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/16/2015,16,Middle,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/16/2015,20,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/23/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/23/2015,18,Middle,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/23/2015,23,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/30/2015,38,Start,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/30/2015,13,Middle,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,7/30/2015,22,End,,,,,,,,,,,,,,,,,,,,,,
Lyle Point,8/6/2015,9,Start,,,,,,,,,,,,,,,,,,,,,,
